rule,param,value,revenue,revenue_ci,efficiency,efficiency_ci,extension,extension_ci,late_share,late_share_ci,late_win,late_win_ci,sniper_win,sniper_win_ci,sniper_misalloc,sniper_misalloc_ci,cap_hit,cap_hit_ci,sold,sold_ci,d_revenue_vs_ref,d_revenue_vs_ref_ci,d_efficiency_vs_ref,d_efficiency_vs_ref_ci,d_revenue_vs_hard,d_revenue_vs_hard_ci,d_efficiency_vs_hard,d_efficiency_vs_hard_ci,ext_p95,payoff_proxy,payoff_incr,payoff_sniper
"hard close, no cap",n,6,0.66607,0.00494,0.97581,0.00232,0.0,0.0,0.05502,0.00298,0.2536,0.01206,0.2528,0.01205,0.0832,0.00766,0.0,0.0,1.0,0.0,0.00124,0.00039,0.00078,0.00034,0.0,0.0,0.0,0.0,0.0,0.02499,0.02397,0.04076
soft close 5 min,n,6,0.67814,0.0048,0.98324,0.00191,2.23965,0.10139,0.06118,0.00325,0.2248,0.01157,0.2242,0.01156,0.0482,0.00594,0.0,0.0,1.0,0.0,0.01331,0.00157,0.00821,0.00145,0.01207,0.00153,0.00743,0.00141,9.691,0.02489,0.02601,0.03224
"ArtSphere: hard close, ladder cap 50",n,8,0.74406,0.00414,0.98117,0.00189,0.0,0.0,0.0413,0.00236,0.2282,0.01163,0.2274,0.01162,0.0756,0.00733,0.0954,0.00814,1.0,0.0,0.0,0.0,0.0,0.0,-0.00031,0.00014,-0.00023,0.00018,0.0,0.01562,0.01315,0.02147
"hard close, no cap",n,8,0.74437,0.00414,0.9814,0.00188,0.0,0.0,0.04127,0.00236,0.2288,0.01164,0.228,0.01163,0.0752,0.00731,0.0,0.0,1.0,0.0,0.00031,0.00014,0.00023,0.00018,0.0,0.0,0.0,0.0,0.0,0.01558,0.01316,0.02148
soft close 5 min,n,8,0.7527,0.00401,0.98671,0.00154,2.01261,0.09656,0.04602,0.00259,0.2006,0.0111,0.1994,0.01108,0.044,0.00569,0.0,0.0,1.0,0.0,0.00864,0.00117,0.00554,0.0011,0.00833,0.00116,0.00531,0.00108,9.621,0.01554,0.0144,0.01686
"ArtSphere: hard close, ladder cap 50",n,12,0.82683,0.00295,0.98978,0.0011,0.0,0.0,0.0311,0.00171,0.2358,0.01177,0.2358,0.01177,0.075,0.0073,0.097,0.0082,1.0,0.0,0.0,0.0,0.0,0.0,-4e-05,7e-05,-3e-05,6e-05,0.0,0.00696,0.00585,0.01023
"hard close, no cap",n,12,0.82687,0.00295,0.98981,0.0011,0.0,0.0,0.03104,0.00171,0.2354,0.01176,0.2354,0.01176,0.0746,0.00728,0.0,0.0,1.0,0.0,4e-05,7e-05,3e-05,6e-05,0.0,0.0,0.0,0.0,0.0,0.00695,0.00585,0.01022
soft close 5 min,n,12,0.83213,0.00287,0.99274,0.00091,2.01106,0.09487,0.03445,0.00189,0.2092,0.01128,0.209,0.01127,0.045,0.00575,0.0,0.0,1.0,0.0,0.00531,0.00078,0.00297,0.00062,0.00527,0.00077,0.00294,0.00061,9.613,0.00692,0.00634,0.00828
"ArtSphere: hard close, ladder cap 50",step,0.001,0.5317,0.00639,0.90487,0.00456,0.0,0.0,0.0629,0.00325,0.2462,0.01194,0.2452,0.01193,0.163,0.01024,0.4866,0.01386,1.0,0.0,0.0,0.0,0.0,0.0,-0.08815,0.00464,-0.0409,0.00286,0.0,0.04418,0.02463,0.06212
"hard close, no cap",step,0.001,0.61984,0.0059,0.94577,0.00385,0.0,0.0,0.05261,0.00293,0.2908,0.01259,0.29,0.01258,0.119,0.00898,0.0,0.0,1.0,0.0,0.08815,0.00464,0.0409,0.00286,0.0,0.0,0.0,0.0,0.0,0.02506,0.02467,0.05599
soft close 5 min,step,0.001,0.64568,0.00543,0.96195,0.00316,3.18831,0.13615,0.06021,0.00319,0.2356,0.01176,0.235,0.01175,0.0572,0.00644,0.0,0.0,1.0,0.0,0.11398,0.00513,0.05708,0.00365,0.02583,0.00261,0.01618,0.0024,13.154,0.02495,0.02941,0.03694
"ArtSphere: hard close, ladder cap 50",step,0.005,0.63973,0.00501,0.95915,0.00291,0.0,0.0,0.0557,0.00303,0.2456,0.01193,0.2448,0.01192,0.1028,0.00842,0.2898,0.01258,1.0,0.0,0.0,0.0,0.0,0.0,-0.01356,0.00144,-0.00932,0.00127,0.0,0.02768,0.02455,0.04387
"hard close, no cap",step,0.005,0.65329,0.00509,0.96847,0.00268,0.0,0.0,0.05352,0.00296,0.2634,0.01221,0.2626,0.0122,0.092,0.00801,0.0,0.0,1.0,0.0,0.01356,0.00144,0.00932,0.00127,0.0,0.0,0.0,0.0,0.0,0.02501,0.02456,0.04477
soft close 5 min,step,0.005,0.66842,0.0049,0.97762,0.00221,2.47705,0.10952,0.06016,0.00322,0.2266,0.01161,0.226,0.01159,0.0486,0.00596,0.0,0.0,1.0,0.0,0.02869,0.00226,0.01847,0.00203,0.01514,0.00181,0.00915,0.00162,9.837,0.0249,0.02712,0.03397
"ArtSphere: hard close, ladder cap 50",step,0.01,0.66483,0.00492,0.97503,0.00234,0.0,0.0,0.05539,0.00299,0.2524,0.01204,0.2516,0.01203,0.0848,0.00772,0.0924,0.00803,1.0,0.0,0.0,0.0,0.0,0.0,-0.00124,0.00039,-0.00078,0.00034,0.0,0.02522,0.02397,0.04073
